Order_Date;Ship_Date;Ship_Mode;Customer_ID;Segment;City;State;Postal_Code;Region;Product_ID;Category;Sub_Category;Product_Name;Sales;shipping_costs;number_of_products_in_warehouse;production_costs_per_unit
08.11.2017;11.11.2017;Second Class;CG-12520;Consumer;Henderson;Kentucky;42420.0;South;FUR-BO-10001798;Furniture;Bookcases;Bush Somerset Collection Bookcase;261.96;20;11;95
08.11.2017;11.11.2017;Second Class;CG-12520;Consumer;Henderson;Kentucky;42420.0;South;FUR-CH-10000454;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;731.94;20;14;177
12.06.2017;16.06.2017;Second Class;DV-13045;Corporate;Los Angeles;California;90036.0;West;OFF-LA-10000240;Office Supplies;Labels;Self-Adhesive Address Labels for Typewriters by Universal;14.62;6;20;1
11.10.2016;18.10.2016;Standard Class;SO-20335;Consumer;Fort Lauderdale;Florida;33311.0;South;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;9.575.775;7;2;94
11.10.2016;18.10.2016;Standard Class;SO-20335;Consumer;Fort Lauderdale;Florida;33311.0;South;OFF-ST-10000760;Office Supplies;Storage;Eldon Fold N Roll Cart System;22.368;7;7;4
09.06.2015;14.06.2015;Standard Class;BH-11710;Consumer;Los Angeles;California;90032.0;West;FUR-FU-10001487;Furniture;Furnishings;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;48.86;6;2;14
09.06.2015;14.06.2015;Standard Class;BH-11710;Consumer;Los Angeles;California;90032.0;West;OFF-AR-10002833;Office Supplies;Art;Newell 322;Jul 28;7;1;15
09.06.2015;14.06.2015;Standard Class;BH-11710;Consumer;Los Angeles;California;90032.0;West;TEC-PH-10002275;Technology;Phones;Mitel 5320 IP Phone VoIP phone;907.152;1094;2;35
09.06.2015;14.06.2015;Standard Class;BH-11710;Consumer;Los Angeles;California;90032.0;West;OFF-BI-10003910;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;18.504;7;29;326
09.06.2015;14.06.2015;Standard Class;BH-11710;Consumer;Los Angeles;California;90032.0;West;OFF-AP-10002892;Office Supplies;Appliances;Belkin F5C206VTEL 6 Outlet Surge;114.9;105;1;15
09.06.2015;14.06.2015;Standard Class;BH-11710;Consumer;Los Angeles;California;90032.0;West;FUR-TA-10001539;Furniture;Tables;Chromcraft Rectangular Conference Tables;1.706.184;18;12;331
09.06.2015;14.06.2015;Standard Class;BH-11710;Consumer;Los Angeles;California;90032.0;West;TEC-PH-10002033;Technology;Phones;Konftel 250 Conference phone - Charcoal black;911.424;70;4;49
15.04.2018;20.04.2018;Standard Class;AA-10480;Consumer;Concord;North Carolina;28027.0;South;OFF-PA-10002365;Office Supplies;Paper;Xerox 1967;15.552;45;1084;22
05.12.2017;10.12.2017;Standard Class;IM-15070;Consumer;Seattle;Washington;98103.0;West;OFF-BI-10003656;Office Supplies;Binders;Fellowes PB200 Plastic Comb Binding Machine;407.976;8;0;2
22.11.2016;26.11.2016;Standard Class;HP-14815;Home Office;Fort Worth;Texas;76106.0;Central;OFF-AP-10002311;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;68.81;6;0;18
22.11.2016;26.11.2016;Standard Class;HP-14815;Home Office;Fort Worth;Texas;76106.0;Central;OFF-BI-10000756;Office Supplies;Binders;Storex DuraTech Recycled Plastic Frosted Binders;2.544;8;0;5
11.11.2015;18.11.2015;Standard Class;PK-19075;Consumer;Madison;Wisconsin;53711.0;Central;OFF-ST-10004186;Office Supplies;Storage;Stur-D-Stor Shelving, Vertical 5-Shelf: 72H x 36W x 18 1/2D;665.88;15;4;10
13.05.2015;15.05.2015;Second Class;AG-10270;Consumer;West Jordan;Utah;84084.0;West;OFF-ST-10000107;Office Supplies;Storage;Fellowes Super Stor/Drawer;55.5;3;5;6
27.08.2015;01.09.2015;Second Class;ZD-21925;Consumer;San Francisco;California;94109.0;West;OFF-AR-10003056;Office Supplies;Art;Newell 341;Aug 56;7;238;2
27.08.2015;01.09.2015;Second Class;ZD-21925;Consumer;San Francisco;California;94109.0;West;TEC-PH-10001949;Technology;Phones;Cisco SPA 501G IP Phone;213.48;44;1;7
27.08.2015;01.09.2015;Second Class;ZD-21925;Consumer;San Francisco;California;94109.0;West;OFF-BI-10002215;Office Supplies;Binders;Wilson Jones Hanging View Binder, White, 1;22.72;2;6;2
09.12.2017;13.12.2017;Standard Class;KB-16585;Corporate;Fremont;Nebraska;68025.0;Central;OFF-AR-10000246;Office Supplies;Art;Newell 318;19.46;12;5;3
09.12.2017;13.12.2017;Standard Class;KB-16585;Corporate;Fremont;Nebraska;68025.0;Central;OFF-AP-10001492;Office Supplies;Appliances;Acco Six-Outlet Power Strip, 4 Cord Length;60.34;11;1;23
16.07.2018;18.07.2018;Second Class;SF-20065;Consumer;Philadelphia;Pennsylvania;19140.0;East;FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair, Gray;71.372;18;1;182
25.09.2016;30.09.2016;Standard Class;EB-13870;Consumer;Orem;Utah;84057.0;West;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;1044.63;75;0;12
16.01.2017;20.01.2017;Second Class;EH-13945;Consumer;Los Angeles;California;90049.0;West;OFF-BI-10001634;Office Supplies;Binders;Wilson Jones Active Use Binders;11.648;9;1;39
16.01.2017;20.01.2017;Second Class;EH-13945;Consumer;Los Angeles;California;90049.0;West;TEC-AC-10003027;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;90.57;3;1;14
17.09.2016;21.09.2016;Standard Class;TB-21520;Consumer;Philadelphia;Pennsylvania;19140.0;East;FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083.43;17;277;257
17.09.2016;21.09.2016;Standard Class;TB-21520;Consumer;Philadelphia;Pennsylvania;19140.0;East;OFF-BI-10000474;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems;9.618;3;2;14
17.09.2016;21.09.2016;Standard Class;TB-21520;Consumer;Philadelphia;Pennsylvania;19140.0;East;FUR-FU-10004848;Furniture;Furnishings;Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock;124.2;21;1;26
17.09.2016;21.09.2016;Standard Class;TB-21520;Consumer;Philadelphia;Pennsylvania;19140.0;East;OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes;3.264;5;234;1
17.09.2016;21.09.2016;Standard Class;TB-21520;Consumer;Philadelphia;Pennsylvania;19140.0;East;OFF-AR-10004042;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86.304;10;1;12
17.09.2016;21.09.2016;Standard Class;TB-21520;Consumer;Philadelphia;Pennsylvania;19140.0;East;OFF-BI-10001525;Office Supplies;Binders;Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11, Executive Red;6.858;10;2;2
17.09.2016;21.09.2016;Standard Class;TB-21520;Consumer;Philadelphia;Pennsylvania;19140.0;East;OFF-AR-10001683;Office Supplies;Art;Lumber Crayons;15.76;216;80;1
19.10.2018;23.10.2018;Second Class;MA-17560;Home Office;Houston;Texas;77095.0;Central;OFF-PA-10000249;Office Supplies;Paper;Easy-staple paper;29.472;10;76;2
08.12.2017;10.12.2017;First Class;GH-14485;Corporate;Richardson;Texas;75080.0;Central;TEC-PH-10004977;Technology;Phones;GE 30524EE4;1.097.544;11;8;15
08.12.2017;10.12.2017;First Class;GH-14485;Corporate;Richardson;Texas;75080.0;Central;FUR-FU-10003664;Furniture;Furnishings;Electrix Architects Clamp-On Swing Arm Lamp, Black;190.92;16;467;5
27.12.2016;31.12.2016;Standard Class;SN-20710;Home Office;Houston;Texas;77041.0;Central;OFF-EN-10002986;Office Supplies;Envelopes;#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes;113.328;10;15;15
27.12.2016;31.12.2016;Standard Class;SN-20710;Home Office;Houston;Texas;77041.0;Central;FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;5.323.992;10;21;12
27.12.2016;31.12.2016;Standard Class;SN-20710;Home Office;Houston;Texas;77041.0;Central;FUR-CH-10004218;Furniture;Chairs;Global Fabric Managers Chair, Dark Gray;212.058;10;1;1579
27.12.2016;31.12.2016;Standard Class;SN-20710;Home Office;Houston;Texas;77041.0;Central;TEC-PH-10000486;Technology;Phones;Plantronics HL10 Handset Lifter;371.168;10;1;39
10.09.2018;15.09.2018;Standard Class;LC-16930;Corporate;Naperville;Illinois;60540.0;Central;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;147.168;12;12;20
17.07.2017;22.07.2017;Standard Class;RA-19885;Corporate;Los Angeles;California;90049.0;West;OFF-ST-10003479;Office Supplies;Storage;Eldon Base for stackable storage shelf, platinum;77.88;13;343;10
19.09.2018;23.09.2018;Standard Class;ES-14080;Corporate;Melbourne;Florida;32935.0;South;OFF-ST-10003282;Office Supplies;Storage;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;95.616;3;137;24
11.03.2017;13.03.2017;First Class;ON-18715;Corporate;Eagan;Minnesota;55122.0;Central;TEC-AC-10000171;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;45.98;6;68;3
